"","team","gamesplayed","wins","losses","winrate","minutespergame","pointspergame","fgmadepergame","fgattemptspergame","fgpercent","threesmadepergame","threesattemptedpergame","threefgpercent","ftmpergame","ftapergame","ftpercent","offrebpergame","defrebpergame","reboundspergame","assistspergame","tospergame","stealspergame","blockspergame","blockedfgattemptspergame","pfpergame","pfdrawnpergame","plusminuspointspergame","offrebperc","foulsconverted","efffgpercent","estimatedpossessions","topercent","predplusminus_spreadmodel10","predplusminus_spreadmodel9","predwins","residualswins","rf_pred_spread.-9.4","rf_pred_spread.-7","rf_pred_spread.-6.2","rf_pred_spread.-5.5","rf_pred_spread.-4.8","rf_pred_spread.-3.7","rf_pred_spread.-3.6","rf_pred_spread.-3","rf_pred_spread.-1.5","rf_pred_spread.-0.3","rf_pred_spread.-0.1","rf_pred_spread.0","rf_pred_spread.0.3","rf_pred_spread.0.5","rf_pred_spread.0.6","rf_pred_spread.0.9","rf_pred_spread.1.3","rf_pred_spread.1.4","rf_pred_spread.1.5","rf_pred_spread.2.2","rf_pred_spread.2.6","rf_pred_spread.2.9","rf_pred_spread.3.4","rf_pred_spread.3.6","rf_pred_spread.4.3","rf_pred_spread.4.5","rf_pred_spread.6","rf_pred_spread.7.8","rf_pred_spread.8.5"
"1","Atlanta Hawks",82,24,58,0.293,48.1,103.4,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5, 9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,-5.5,0.211,0.1847953,0.5122807, 99.98,0.1550310,-3.29419710,-6.1414708,29.22155,-5.22154709,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Boston Celtics",82,55,27,0.671,48.3,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1, 9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2, 3.6,0.215,0.1880141,0.5176263, 97.98,0.1428863,-0.48630920, 1.9048415,38.27536,16.72464309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3","Brooklyn Nets",82,28,54,0.341,48.4,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2, 9.7,34.8,44.4,23.7,15.2,6.2,4.8,5.5,20.6,19.7,-3.7,0.210,0.2004608,0.5132488,101.34,0.1499901,-3.75198009,-4.2763238,28.50131,-0.50130903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Charlotte Hornets",82,36,46,0.439,48.2,108.2,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,12.7,6.8,4.5,4.9,17.2,22.4, 0.3,0.222,0.2329873,0.5074971,100.10,0.1268731,-2.41643623, 0.7384360,35.31744, 0.68255990,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Chicago Bulls",82,27,55,0.329,48.4,102.9,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9, 9.6,35.0,44.7,23.5,14.0,7.6,3.5,5.2,19.2,17.4,-7.0,0.206,0.1644144,0.4977477,100.88,0.1387787,-7.62354943,-5.7737117,22.86779, 4.13221490,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Cleveland Cavaliers",82,50,32,0.610,48.1,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9, 8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7, 0.9,0.200,0.2134434,0.5471698, 99.32,0.1379380, 3.97130097, 0.9106430,53.53547,-3.53547031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Dallas Mavericks",82,24,58,0.293,48.3,102.3,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3, 8.1,33.1,41.3,22.7,12.3,7.0,3.8,4.5,19.2,19.6,-3.0,0.180,0.1653085,0.5122235, 97.58,0.1260504,-4.24361433,-2.2409935,32.03729,-8.03729345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Denver Nuggets",82,46,36,0.561,48.5,110.0,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,15.0,7.6,4.9,4.8,18.7,20.7, 1.5,0.257,0.1974596,0.5363741, 99.52,0.1507235, 5.28156882, 2.4917905,52.89693,-6.89693189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9","Detroit Pistons",82,39,43,0.476,48.3,103.8,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,13.4,7.7,3.9,4.9,18.4,18.4,-0.1,0.227,0.1691600,0.5120829, 98.12,0.1365675,-1.29179010,-0.6669477,38.86551, 0.13448795,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Golden State Warriors",82,58,24,0.707,48.1,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5, 8.4,35.1,43.5,29.3,15.4,8.0,7.5,3.7,19.6,18.5, 6.0,0.210,0.1950646,0.5693302,100.22,0.1536619, 7.97760644, 6.7586575,59.94756,-1.94756178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
